==4149== Lackey, an example Valgrind tool
==4149== Copyright (C) 2002-2013, and GNU GPL'd, by Nicholas Nethercote.
==4149== Using Valgrind-3.10.0.SVN and LibVEX; rerun with -h for copyright info
==4149== Command: ./quicksort
==4149== 
I  040010d0,2
I  040010d2,5
 S bec6913c,4
I  040047c0,1
 S bec69138,4
I  040047c1,2
I  040047c3,1
 S bec69134,4
I  040047c4,1
 S bec69130,4
I  040047c5,1
 S bec6912c,4
I  040047c6,3
I  040047c9,5
 S bec690cc,4
I  040187a8,3
 L bec690cc,4
I  040187ab,1
 L bec690cc,4
I  040047ce,6
I  040047d4,3
 S bec690f4,4
I  040047d7,2
I  040047d9,6
 S 04020d10,4
I  040047df,6
 L 04020f34,4
I  040047e5,5
I  040047ea,6
 S 04020d14,4
I  040047f0,6
I  040047f6,2
I  040047f8,6
 L 04021000,4
I  040047fe,2
I  04004800,6
 S 04021564,4
I  04004806,6
 S 0402155c,4
I  0400480c,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 040215b4,4
I  04004820,3
I  04004823,2
 L 04020f3c,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 0402158c,4
I  04004820,3
I  04004823,2
 L 04020f44,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  0400482e,2
I  04004830,2
I  04004832,3
I  04004835,2
I  04004837,3
I  0400483a,2
I  0400483c,3
I  0400483f,6
I  04004a38,5
I  04004a3d,2
I  04004a3f,3
I  04004a42,6
I  04004b78,5
I  04004b7d,2
I  04004b7f,3
I  04004b82,6
I  04004b88,2
I  04004b8a,7
 S 040216a8,4
I  04004b91,5
I  04004820,3
I  04004823,2
 L 04020f4c,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 04021590,4
I  04004820,3
I  04004823,2
 L 04020f54,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 04021594,4
I  04004820,3
I  04004823,2
 L 04020f5c,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 040215a4,4
I  04004820,3
I  04004823,2
 L 04020f64,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
 S 040215a8,4
I  04004820,3
I  04004823,2
 L 04020f6c,4
I  04004825,2
I  04004827,2
I  04004829,3
I  0400482c,2
I  04004819,7
